var_file1,var_file2,type,hash,samples_file1,samples_file2,const_file1,const_file2,input_file1,input_file2,same_name,first_file1,last_file1,first_file2,last_file2
L0x55555524bc,L0x10c9c,uint32,5ad7096d6d984c15,100,100,true,true,false,false,false,11000001100110111111000101110100,11000001100110111111000101110100,11000001100110111111000101110100,11000001100110111111000101110100
A20,A20,uint8,1cb3185bae043b37,100,100,false,false,true,true,true,01000001,01010111,01000001,01010111
a0,a0,uint32,1468cdeda65d52a5,100,100,false,false,false,false,true,00011110111101101111011010111001,00100101111101000011011101001110,00011110111101101111011010111001,00100101111101000011011101001110
a0,L0x2204c,uint32,1468cdeda65d52a5,100,100,false,false,false,false,false,00011110111101101111011010111001,00100101111101000011011101001110,00011110111101101111011010111001,00100101111101000011011101001110
a0,r4,uint32,1468cdeda65d52a5,100,100,false,false,false,false,false,00011110111101101111011010111001,00100101111101000011011101001110,00011110111101101111011010111001,00100101111101000011011101001110
w9_r,r10_r,uint32,57b263508d4bcd6a,100,100,false,false,false,false,false,11111111000100111100011010011101,11110111011110001111001001101100,11111111000100111100011010011101,11110111011110001111001001101100
L0x55555524f8,L0x10cd8,uint32,6169c349bc9838c5,100,100,true,true,false,false,false,00000110110010100110001101010001,00000110110010100110001101010001,00000110110010100110001101010001,00000110110010100110001101010001
L0x5555552508,L0x10ce8,uint32,50ccd302a9853f2d,100,100,true,true,false,false,false,01001101001011000110110111111100,01001101001011000110110111111100,01001101001011000110110111111100,01001101001011000110110111111100
A6,A6,uint32,6e14ae6cc7d5f0cd,100,100,false,false,true,true,true,10010100000101101100110011010100,11001111010101100110111011011101,10010100000101101100110011010100,11001111010101100110111011011101
A6,r0,uint32,6e14ae6cc7d5f0cd,100,100,false,false,true,false,false,10010100000101101100110011010100,11001111010101100110111011011101,10010100000101101100110011010100,11001111010101100110111011011101
A22,A22,uint8,7ab6e9808b5c57ef,100,100,false,false,true,true,true,10111010,10110001,10111010,10110001
L0x55555524e0,L0x10cc0,uint32,f55789f6c0a264ad,100,100,true,true,false,false,false,10011000001111100101000101010010,10011000001111100101000101010010,10011000001111100101000101010010,10011000001111100101000101010010
A52,A52,uint8,28cf3bb38ca2e415,100,100,false,false,true,true,true,10111111,00111001,10111111,00111001
w7_r,r8_r,uint32,9b6d2bb447c605db,100,100,false,false,false,false,false,00110101010111100110001110001011,01001111111011000010011110111111,00110101010111100110001110001011,01001111111011000010011110111111
L0x55555524e8,L0x10cc8,uint32,2c91f840ecb6995,100,100,true,true,false,false,false,10110000000000110010011111001000,10110000000000110010011111001000,10110000000000110010011111001000,10110000000000110010011111001000
L0x55555524c8,L0x10ca8,uint32,340933ac6bd3e945,100,100,true,true,false,false,false,00001111110000011001110111000110,00001111110000011001110111000110,00001111110000011001110111000110,00001111110000011001110111000110
A31,A31,uint8,321251358dbb5252,100,100,false,false,true,true,true,01110000,10000110,01110000,10000110
A09,A09,uint8,f21ddfb86ac1d997,100,100,false,false,true,true,true,11011100,10100001,11011100,10100001
L0x5555552504,L0x10ce4,uint32,7435dfae5ccba85,100,100,true,true,false,false,false,00101110000110110010000100111000,00101110000110110010000100111000,00101110000110110010000100111000,00101110000110110010000100111000
A07,A07,uint8,a2f5a1feecff9fcb,100,100,false,false,true,true,true,11111101,11101111,11111101,11101111
A28,A28,uint8,1ed073e8a5e1d0d2,100,100,false,false,true,true,true,00011011,10000100,00011011,10000100
w3_r,r4_r,uint32,45273335b120fd64,100,100,false,false,false,false,false,00010111100010100011011000110011,11101000100000111101000001000110,00010111100010100011011000110011,11101000100000111101000001000110
A35,A35,uint8,97ecec4a7e7b6b8e,100,100,false,false,true,true,true,10111111,01010101,10111111,01010101
A36,A36,uint8,496661e771b86ecf,100,100,false,false,true,true,true,11011001,11111001,11011001,11111001
A42,A42,uint8,152a6645ee36ebc4,100,100,false,false,true,true,true,10001101,11000010,10001101,11000010
A3,A3,uint32,334e4a4846b91ff4,100,100,false,false,true,true,true,00101110001001110101001010011010,00001011100010111101111001001100,00101110001001110101001010011010,00001011100010111101111001001100
A57,A57,uint8,1d5bb3cbbbafd920,100,100,false,false,true,true,true,10000100,01001011,10000100,01001011
L0x55555640ac,r5,uint32,e961a6f5536f2517,100,100,false,false,false,false,false,01111101110000010110001010001000,00010101100000101101100100100001,01111101110000010110001010001000,00010101100000101101100100100001
L0x55555640ac,L0x22050,uint32,e961a6f5536f2517,100,100,false,false,false,false,false,01111101110000010110001010001000,00010101100000101101100100100001,01111101110000010110001010001000,00010101100000101101100100100001
L0x55555640ac,a1,uint32,e961a6f5536f2517,100,100,false,false,false,false,false,01111101110000010110001010001000,00010101100000101101100100100001,01111101110000010110001010001000,00010101100000101101100100100001
A37,A37,uint8,3dcfc8a886f96341,100,100,false,false,true,true,true,01010100,10101010,01010100,10101010
A2,A2,uint32,4918b264804ddb12,100,100,false,false,true,true,true,00100000111000011011110010000110,10001101100110000010000111011011,00100000111000011011110010000110,10001101100110000010000111011011
w9,a6,uint32,d9224ce2a72b95d4,100,100,false,false,false,false,false,11001001000001101100010101110010,01100010101111100010101010100100,11001001000001101100010101110010,01100010101111100010101010100100
w9,L0x22064,uint32,d9224ce2a72b95d4,100,100,false,false,false,false,false,11001001000001101100010101110010,01100010101111100010101010100100,11001001000001101100010101110010,01100010101111100010101010100100
w9,r10,uint32,d9224ce2a72b95d4,100,100,false,false,false,false,false,11001001000001101100010101110010,01100010101111100010101010100100,11001001000001101100010101110010,01100010101111100010101010100100
L0x5555552554,L0x10d34,uint32,ee6f2fb6214e8d85,100,100,true,true,false,false,false,01001110110110001010101001001010,01001110110110001010101001001010,01001110110110001010101001001010,01001110110110001010101001001010
L0x5555552538,L0x10d18,uint32,c8630d5634e15e45,100,100,true,true,false,false,false,11110100000011100011010110000101,11110100000011100011010110000101,11110100000011100011010110000101,11110100000011100011010110000101
L0x55555524f0,L0x10cd0,uint32,8975e1c57bb2ae25,100,100,true,true,false,false,false,11000110111000000000101111110011,11000110111000000000101111110011,11000110111000000000101111110011,11000110111000000000101111110011
A43,A43,uint8,8c8240b8a81f56,100,100,false,false,true,true,true,00000111,10011011,00000111,10011011
A10,A10,uint8,d123885cbac1a59e,100,100,false,false,true,true,true,00001111,01101001,00001111,01101001
A21,A21,uint8,b7ef0f8312106746,100,100,false,false,true,true,true,10011010,01010100,10011010,01010100
A33,A33,uint8,6822386c2999fe59,100,100,false,false,true,true,true,10100010,10111000,10100010,10111000
w3,a0,uint32,1468cdeda65d52a5,100,100,false,false,false,false,false,00011110111101101111011010111001,00100101111101000011011101001110,00011110111101101111011010111001,00100101111101000011011101001110
w3,L0x2204c,uint32,1468cdeda65d52a5,100,100,false,false,false,false,false,00011110111101101111011010111001,00100101111101000011011101001110,00011110111101101111011010111001,00100101111101000011011101001110
w3,r4,uint32,1468cdeda65d52a5,100,100,false,false,false,false,false,00011110111101101111011010111001,00100101111101000011011101001110,00011110111101101111011010111001,00100101111101000011011101001110
ext_3,L0x407ffd10,uint32,79d70709cf78c348,100,100,false,false,false,false,false,10000010100000101101000100100110,01111110011110101010100001100101,10000010100000101101000100100110,01111110011110101010100001100101
a7,a7,uint32,9d9e7f9043638206,100,100,false,false,false,false,true,01011010110001111101110011101001,11110100111101011001100000101010,01011010110001111101110011101001,11110100111101011001100000101010
a7,r11,uint32,9d9e7f9043638206,100,100,false,false,false,false,false,01011010110001111101110011101001,11110100111101011001100000101010,01011010110001111101110011101001,11110100111101011001100000101010
a7,L0x22068,uint32,9d9e7f9043638206,100,100,false,false,false,false,false,01011010110001111101110011101001,11110100111101011001100000101010,01011010110001111101110011101001,11110100111101011001100000101010
L0x55555524b4,L0x10c94,uint32,e15e406f62a51aad,100,100,true,true,false,false,false,10000000110111101011000111111110,10000000110111101011000111111110,10000000110111101011000111111110,10000000110111101011000111111110
